bundleID,bundleStatus,title,details,quantity,rrp,discountedPrice,sellerID,purchaserID,expiryDate,pickupWindow
1,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,1,NULL,2024-11-16,15:00-16:00
2,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2024-11-16,15:00-16:00
3,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,3,NULL,2024-11-16,15:00-16:00
4,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2024-11-16,15:00-16:00
5,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,5,NULL,2024-11-16,15:00-16:00
6,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2024-11-16,15:00-16:00
7,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",3,15,5,7,NULL,2024-11-16,18:00-19:00
8,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2024-11-16,18:00-19:00
9,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,2,16,8,9,NULL,2024-11-16,18:00-19:00
10,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2024-11-16,18:00-19:00
11,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,3,5,2.5,11,NULL,2024-12-16,15:00-16:00
12,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2024-12-16,15:00-16:00
13,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,2,30,10,13,NULL,2024-12-16,15:00-16:00
14,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2024-12-16,15:00-16:00
15,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,15,NULL,2024-12-16,15:00-16:00
16,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2024-12-16,14:00-15:00
17,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,17,NULL,2024-12-16,15:00-16:00
18,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2024-12-16,15:00-16:00
19,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,19,NULL,2024-12-16,15:00-16:00
20,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2024-12-16,15:00-16:00
21,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,21,NULL,2025-01-16,15:00-16:00
22,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-01-16,15:00-16:00
23,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",3,9,3,23,NULL,2025-01-16,15:00-16:00
24,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-01-16,15:00-16:00
25,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,25,NULL,2025-01-16,15:00-16:00
26,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-01-16,18:00-19:00
27,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,16,4,27,NULL,2025-01-16,18:00-19:00
28,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-01-16,18:00-19:00
