issueID,customerID,reservationID,createdAt,resolvedAt,title,issueDescription,sellerResponse,issueStatus
1,31,1,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
2,32,2,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
3,33,3,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
4,34,4,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
5,35,5,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
6,36,6,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
7,37,7,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
8,38,8,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
9,39,9,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
10,40,10,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
11,41,11,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
12,42,12,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
13,43,13,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
14,44,14,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
15,45,15,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
16,46,16,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
17,47,17,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
18,48,18,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
19,49,19,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
